"time";"value"
Jan 1956;179
Feb 1956;183
Mar 1956;178
Apr 1956;176
May 1956;204
Jun 1956;179
Jul 1956;193
Aug 1956;175
Sep 1956;184
Oct 1956;188
Nov 1956;202
Dec 1956;187
Jan 1957;197
Feb 1957;194
Mar 1957;217
Apr 1957;198
May 1957;210
Jun 1957;198
Jul 1957;230
Aug 1957;225
Sep 1957;214
Oct 1957;212
Nov 1957;214
Dec 1957;204
Jan 1958;196
Feb 1958;190
Mar 1958;215
Apr 1958;203
May 1958;232
Jun 1958;220
Jul 1958;244
Aug 1958;242
Sep 1958;241
Oct 1958;244
Nov 1958;245
Dec 1958;240
Jan 1959;247
Feb 1959;225
Mar 1959;223
Apr 1959;241
May 1959;248
Jun 1959;240
Jul 1959;249
Aug 1959;263
Sep 1959;253
Oct 1959;259
Nov 1959;253
Dec 1959;258
Jan 1960;254
Feb 1960;248
Mar 1960;265
Apr 1960;252
May 1960;276
Jun 1960;260
Jul 1960;273
Aug 1960;298
Sep 1960;270
Oct 1960;272
Nov 1960;267
Dec 1960;288
Jan 1961;227
Feb 1961;250
Mar 1961;278
Apr 1961;272
May 1961;288
Jun 1961;275
Jul 1961;282
Aug 1961;301
Sep 1961;287
Oct 1961;269
Nov 1961;271
Dec 1961;273
Jan 1962;293
Feb 1962;277
Mar 1962;304
Apr 1962;274
May 1962;311
Jun 1962;284
Jul 1962;330
Aug 1962;325
Sep 1962;304
Oct 1962;273
Nov 1962;320
Dec 1962;319
Jan 1963;314
Feb 1963;293
Mar 1963;320
Apr 1963;316
May 1963;331
Jun 1963;322
Jul 1963;340
Aug 1963;363
Sep 1963;328
Oct 1963;339
Nov 1963;349
Dec 1963;355
Jan 1964;345
Feb 1964;333
Mar 1964;343
Apr 1964;345
May 1964;369
Jun 1964;363
Jul 1964;374
Aug 1964;381
Sep 1964;388
Oct 1964;370
Nov 1964;374
Dec 1964;396
Jan 1965;402
Feb 1965;371
Mar 1965;399
Apr 1965;368
May 1965;387
Jun 1965;359
Jul 1965;427
Aug 1965;422
Sep 1965;432
Oct 1965;417
Nov 1965;447
Dec 1965;430
Jan 1966;409
Feb 1966;370
Mar 1966;388
Apr 1966;374
May 1966;426
Jun 1966;430
Jul 1966;452
Aug 1966;423
Sep 1966;458
Oct 1966;472
Nov 1966;448
Dec 1966;453
