from https://www.infoclimat.fr/climatologie-mensuelle/07156/mars/2020/paris-montsouris.html,,,,,,,
aaaa,mm,jj,mois,jour,temp_min,temp_max,precip
2020,03,01,mars,dimanche,2.3,9.5,21.0
2020,03,02,mars,lundi,4.2,9.3,4.8
2020,03,03,mars,mardi,2.1,9.4,0.0
2020,03,04,mars,mercredi,3.3,8.8,5.2
2020,03,05,mars,jeudi,6.7,12.9,15.2
2020,03,06,mars,vendredi,6.0,10.0,0.0
2020,03,07,mars,samedi,3.6,11.7,0.0
2020,03,08,mars,dimanche,7.6,11.3,3.8
2020,03,09,mars,lundi,5.5,12.7,3.2
2020,03,10,mars,mardi,7.3,15.2,0.0
2020,03,11,mars,mercredi,12.7,17.4,1.4
2020,03,12,mars,jeudi,8.8,13.9,0.6
2020,03,13,mars,vendredi,4.9,12.4,0.0
2020,03,14,mars,samedi,6.9,11.9,1.0
2020,03,15,mars,dimanche,7.4,17.1,0.0
2020,03,16,mars,lundi,7.9,11.6,0.0
2020,03,17,mars,mardi,9.0,15.7,0.0
2020,03,18,mars,mercredi,11.0,18.4,0.0
2020,03,19,mars,jeudi,8.6,20.9,0.0
2020,03,20,mars,vendredi,10.6,17.0,0.0
2020,03,21,mars,samedi,6.5,8.7,0.0
2020,03,22,mars,dimanche,5.6,11.8,0.0
2020,03,23,mars,lundi,2.0,12.1,0.0
2020,03,24,mars,mardi,1.9,13.8,0.0
2020,03,25,mars,mercredi,1.8,13.4,0.0
2020,03,26,mars,jeudi,3.4,11.7,0.0
2020,03,27,mars,vendredi,4.0,13.9,0.0
2020,03,28,mars,samedi,5.7,17.5,0.0
2020,03,29,mars,dimanche,4.5,10.6,0.0
2020,03,30,mars,lundi,0.1,10.6,0.0
2020,03,31,mars,mardi,3.0,12.7,0.0
2020,04,01,avril,mercredi,2.1,14.1,0.0
2020,04,02,avril,jeudi,3.0,11.4,0.0
2020,04,03,avril,vendredi,7.2,14.9,0.0
2020,04,04,avril,samedi,6.2,17.9,0.0
2020,04,05,avril,dimanche,7.2,23.2,0.0
2020,04,06,avril,lundi,10.0,16.8,2.6
2020,04,07,avril,mardi,10.9,24.1,0.0
2020,04,08,avril,mercredi,11.1,25.6,0.0
2020,04,09,avril,jeudi,11.3,27.1,0.0
2020,04,10,avril,vendredi,12.2,26.4,0.0
2020,04,11,avril,samedi,13.8,26.0,0.0
2020,04,12,avril,dimanche,13.7,26.0,1.2
2020,04,13,avril,lundi,12.2,18.2,0.0
2020,04,14,avril,mardi,3.6,14.5,0.0
2020,04,15,avril,mercredi,5.6,20.7,0.0
2020,04,16,avril,jeudi,8.5,24.6,0.0
2020,04,17,avril,vendredi,13.6,24.9,0.0
2020,04,18,avril,samedi,14.7,24.1,0.6
2020,04,19,avril,dimanche,12.5,21.2,0.0
2020,04,20,avril,lundi,10.9,22.6,0.0
2020,04,21,avril,mardi,11.0,21.6,0.0
2020,04,22,avril,mercredi,11.4,23.0,0.0
2020,04,23,avril,jeudi,11.4,26.1,0.0
2020,04,24,avril,vendredi,14.3,24.7,0.0
2020,04,25,avril,samedi,12.6,21.5,0.0
2020,04,26,avril,dimanche,7.9,21.8,0.0
2020,04,27,avril,lundi,9.7,25.6,3.4
2020,04,28,avril,mardi,13.3,18.8,3.5
2020,04,29,avril,mercredi,10.3,16.9,9.3
2020,04,30,avril,jeudi,8.7,15.0,8.9
2020,05,01,mai,vendredi,8.9,18.0,0.6
2020,05,02,mai,samedi,7.7,17.9,0.0
2020,05,03,mai,dimanche,10.7,21.2,0.0
2020,05,04,mai,lundi,12.5,20.6,0.0
2020,05,05,mai,mardi,10.9,15.6,1.8
2020,05,06,mai,mercredi,12.2,21.9,0.0
2020,05,07,mai,jeudi,9.6,23.4,0.0
2020,05,08,mai,vendredi,11.7,25.6,0.0
2020,05,09,mai,samedi,16.7,24.7,35.6
2020,05,10,mai,dimanche,14.7,23.4,15.2
2020,05,11,mai,lundi,6.3,15.2,0.0
2020,05,12,mai,mardi,5.1,15.5,0.0
2020,05,13,mai,mercredi,6.6,17.1,0.0
2020,05,14,mai,jeudi,5.5,16.4,0.0
2020,05,15,mai,vendredi,5.9,18.8,0.0
2020,05,16,mai,samedi,7.6,20.0,0.0
2020,05,17,mai,dimanche,8.9,21.5,0.0
2020,05,18,mai,lundi,11.5,24.2,0.0
2020,05,19,mai,mardi,11.6,25.1,0.0
2020,05,20,mai,mercredi,13.8,28.7,0.0
2020,05,21,mai,jeudi,16.3,30.5,0.0
2020,05,22,mai,vendredi,17.5,26.7,3.6
2020,05,23,mai,samedi,11.9,20.3,0.4
2020,05,24,mai,dimanche,10.4,20.9,0.0
2020,05,25,mai,lundi,11.9,24.6,0.0
2020,05,26,mai,mardi,14.1,26.0,0.0
2020,05,27,mai,mercredi,15.0,26.6,0.0
2020,05,28,mai,jeudi,12.6,25.3,0.0
2020,05,29,mai,vendredi,13.8,25.6,0.0
2020,05,30,mai,samedi,13.4,26.1,0.0
2020,05,31,mai,dimanche,14.8,24.4,0.0
